FA,Link,C,DB,elem,mass,[M-H]-,[M-W-H]-,NL-H2O,[M+H]+,[M+NH4]+
8:00,A,8,0,C8H16O2,144.115,143.1072,161.1177,126.1044,127.1122,127.1122
10:00,A,10,0,C10H20O2,172.146,171.1382,189.1487,154.1354,155.1433,155.1433
12:00,A,12,0,C12H24O2,200.178,199.1702,217.1807,182.1674,183.1752,183.1752
12:01,A,12,1,C12H22O2,198.162,197.1542,215.1647,180.1514,181.1592,181.1592
14:00,A,14,0,C14H28O2,228.20893,227.2011,245.21166,210.19836,211.2062,211.2062
14:01,A,14,1,C14H26O2,226.193,225.1852,243.1957,208.1824,209.1902,209.1902
14:02,A,14,2,C14H24O2,224.178,223.1702,241.1807,206.1674,207.1752,207.1752
16:00,A,16,0,C16H32O2,256.24023,255.2324,273.24296,238.22966,239.2375,239.2375
16:01,A,16,1,C16H30O2,254.22458,253.21675,271.22731,236.21401,237.2218,237.2218
16:02,A,16,2,C16H28O2,252.2089,251.2011,269.2117,234.1984,235.2062,235.2062
18:00,A,18,0,C18H36O2,284.27153,283.2637,301.27427,266.26096,267.2688,267.2688
18:01,A,18,1,C18H34O2,282.25588,281.24805,299.25862,264.24531,265.2531,265.2531
18:02,A,18,2,C18H32O2,280.24023,279.2324,297.24296,262.22966,263.2375,263.2375
18:03,A,18,3,C18H30O2,278.22458,277.21675,295.22731,260.21401,261.2218,261.2218
18:04,A,18,4,C18H28O2,276.20893,275.2011,293.21166,258.19836,259.2062,259.2062
20:00,A,20,0,C20H40O2,312.30283,311.295,329.30557,294.29226,295.3001,295.3001
20:01,A,20,1,C20H38O2,310.28718,309.27935,327.28992,292.27661,293.2844,293.2844
20:02,A,20,2,C20H36O2,308.27153,307.2637,325.27427,290.26096,291.2688,291.2688
20:03,A,20,3,C20H34O2,306.25588,305.24805,323.25862,288.24531,289.2531,289.2531
20:04,A,20,4,C20H32O2,304.24023,303.2324,321.24296,286.22966,287.2375,287.2375
20:05,A,20,5,C20H30O2,302.22458,301.21675,319.22731,284.21401,285.2218,285.2218
22:00,A,22,0,C22H44O2,340.33413,339.3263,357.33687,322.32356,323.3314,323.3314
22:01,A,22,1,C22H42O2,338.31848,337.31065,355.32122,320.30791,321.3157,321.3157
22:02,A,22,2,C22H40O2,336.30283,335.295,353.30557,318.29226,319.3001,319.3001
22:03,A,22,3,C22H38O2,334.28718,333.27935,351.28992,316.27661,317.2844,317.2844
22:04,A,22,4,C22H36O2,332.27153,331.2637,349.27427,314.26096,315.2688,315.2688
22:05,A,22,5,C22H34O2,330.25588,329.24805,347.25862,312.24531,313.2531,313.2531
22:06,A,22,6,C22H32O2,328.24023,327.2324,345.24296,310.22966,311.2375,311.2375
24:00:00,A,24,0,C24H48O2,368.36543,367.3576,385.36817,350.35486,351.3627,351.3627
24:01:00,A,24,1,C24H46O2,366.34978,365.34195,383.35252,348.33921,349.347,349.347
