FA,Link,C,DB,elem,mass,[M-H]-,[M-W-H]-,NL-H2O,[M+H]+,NL+Na,[M+H]+74
08:00,A,8,0,C8H16O2,144.115,143.1072,161.1177,126.1044,127.1122,166.09694,201.1492
09:00,A,9,0,C9H18O2,158.131,157.123,175.134,176.142,141.128,180.113,215.1652
10:00,A,10,0,C10H20O2,172.146,171.1382,189.1487,154.13542,155.1433,194.12794,229.1803
11:00,A,11,0,C11H22O2,186.162,185.154,203.165,204.173,169.159,208.144,243.1962
12:00,A,12,0,C12H28O2,200.178,199.17,181.1516,182.178,183.175,222.1599,257.212
12:01,A,12,1,C12H22O2,198.162,197.1542,215.1647,180.1514,181.1592,220.14394,255.1962
13:00,A,13,0,C13H26O2,214.193,213.185,231.196,232.204,197.19,236.175,271.2272
14:00,A,14,0,C14H28O2,228.20893,227.2011,209.190535,210.19836,211.1984,250.19087,285.2291
14:01,A,14,1,C14H26O2,226.193,225.1852,243.1957,208.1824,209.1902,248.17494,283.2272
14:02,A,14,2,C14H24O2,224.178,223.1702,241.1807,206.1674,207.1752,246.15994,281.2122
15:00,A,15,0,C15H30O2,242.225,241.217,259.228,260.236,225.222,264.207,299.2592
15:01,A,15,1,C15H28O2,240.20893,239.20093,257.21193,258.21993,223.20593,262.19093,297.24313
16:00,A,16,0,C16H32O2,256.24023,255.2324,237.221835,238.22966,239.2297,278.22217,313.2604
16:01,A,16,1,C16H30O2,254.22458,253.21675,235.206185,236.21401,237.214,276.20652,311.2447
16:02,A,16,2,C16H28O2,252.20893,251.2011,269.2117,234.1984,235.2062,274.19087,309.2432
18:00,A,18,0,C18H36O2,284.27153,283.2637,265.253135,266.26096,267.261,306.25347,341.2917
18:01,A,18,1,C18H34O2,282.25588,281.24805,263.237485,264.24531,265.2453,304.23782,339.276
18:02,A,18,2,C18H32O2,280.24023,279.2324,261.221835,262.22966,263.2297,302.22217,337.2604
18:03,A,18,3,C18H30O2,278.22458,277.21675,259.206185,260.21401,261.214,300.20652,335.2447
18:04,A,18,4,C18H28O2,276.20893,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
19:00,A,19,0,C19H38O2,298.287,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
20:00,A,20,0,C20H40O2,312.30283,311.295,329.30557,294.29226,295.30009,334.28477,369.3371
20:01,A,20,1,C20H38O2,310.28718,309.27935,327.28992,292.27661,293.28444,332.26912,367.3214
20:02,A,20,2,C20H36O2,308.27153,307.2637,325.27427,290.26096,291.268789,330.25347,365.3058
20:03,A,20,3,C20H34O2,306.25588,305.24805,287.237485,288.24531,289.2453,328.23782,363.276
20:04,A,20,4,C20H32O2,304.24023,303.2324,285.221835,286.22966,287.2297,326.22217,361.2604
20:05,A,20,5,C20H30O2,302.22458,301.21675,283.206185,284.21401,285.214,324.20652,359.2447
21:00,A,21,1,C21H42O2,326.318,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
22:00,A,22,0,C22H44O2,340.33413,339.3263,357.33687,322.32356,323.33139,362.31607,397.3684
22:01,A,22,1,C22H42O2,338.31848,337.31065,355.32122,320.30791,321.31574,360.30042,395.3527
22:02,A,22,2,C22H40O2,336.30283,335.295,353.30557,318.29226,319.30009,358.28477,393.3371
22:03,A,22,3,C22H38O2,334.28718,333.27935,351.28992,316.27661,317.28444,356.26912,391.3214
22:04,A,22,4,C22H36O2,332.27153,331.2637,313.253135,314.26096,315.261,354.25347,389.2917
22:05,A,22,5,C22H34O2,330.25588,329.24805,311.237485,312.24531,313.2453,352.23782,387.276
22:06,A,22,6,C22H32O2,328.24023,327.2324,309.221835,310.22966,311.2297,350.22217,385.2604
23:00,A,23,0,C23H46O2,354.35,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
24:00,A,24,0,C24H50O2,368.365,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
24:01,A,24,1,C24H48O2,366.35,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
24:02,A,24,2,C24H46O2,364.334,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
26:00,A,26,0,C26H52O2,396.397,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
26:01,A,26,1,C26H50O2,394.381,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
26:02,A,26,2,C26H48O2,392.365,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
28:00,A,28,0,C28H52O2,424.428,275.2011,293.21166,258.19836,259.20619,298.19087,333.2432
O-16:0,O,16,0,C16H34O,242.26097,241.25314,223.242575,224.2504,225.2504,264.24291,299.2811
O-18:0,O,18,0,C18H38O,270.29227,269.28444,251.273875,252.2817,253.2817,292.27421,327.3124
O-20:0,O,20,0,C20H42O,298.32357,297.31574,279.305175,280.313,281.313,320.30551,355.3437
P-16:0,P,16,0,C16H32O,240.24532,239.23749,221.226925,222.23475,223.2348,262.22726,297.2655
P-18:0,P,18,0,C18H36O,268.27662,267.26879,249.258225,250.26605,251.2661,290.25856,325.2968
P-20:0,P,20,0,C20H40O,296.30792,295.30009,277.289525,278.29735,279.2974,318.28986,353.3281
